Sample_ID,Long,Lat
51029_E12_163,-123.557206,48.126028
51029_E12_203,-123.557206,48.126028
51029_E12_204,-123.557206,48.126028
51029_E12_209,-123.557206,48.126028
51029_E12_211,-123.557206,48.126028
51029_E12_212,-123.557206,48.126028
51029_E12_221,-123.557206,48.126028
51029_E12_224,-123.557206,48.126028
51029_E12_226,-123.557206,48.126028
51029_E12_229,-123.557206,48.126028
51029_E12_231,-123.557206,48.126028
51029_E12_233,-123.557206,48.126028
51029_E12_246,-123.557206,48.126028
51029_E12_247,-123.554462,48.133958
51029_E12_258,-123.557206,48.126028
51029_E12_259,-123.557206,48.126028
51029_E12_260,-123.557206,48.126028
51029_E12_266,-123.557206,48.126028
51029_E12_267,-123.557206,48.126028
51029_E12_274,-123.557206,48.126028
51029_E12_277,-123.557206,48.126028
51029_E12_281,-123.557206,48.126028
51029_E12_282,-123.555959,48.119386
51029_E12_290,-123.554462,48.133958
51029_E12_292,-123.557206,48.126028
51029_E12_296,-123.557206,48.126028
51029_E12_303,-123.557206,48.126028
51029_E12_314,-123.557206,48.126028
51029_E12_317,-123.557206,48.126028
51029_E12_332,-123.557206,48.126028
51029_E12_339,-123.557206,48.126028
51029_E12_351,-123.565757,48.140852
51029_E12_361,-123.557206,48.126028
51029_E12_362,-123.557206,48.126028
51029_E12_366,-123.557206,48.126028
51029_E12_367,-123.557206,48.126028
51029_E12_369,-123.557206,48.126028
51029_E12_372,-123.557206,48.126028
51029_E12_373,-123.557206,48.126028
51029_E12_378,-123.557206,48.126028
51029_E12_385,-123.557206,48.126028
51029_E12_387,-123.557206,48.126028
51029_E13_001b,-123.557206,48.126028
51029_E13_002a,-123.555959,48.119386
51029_E13_002b,-123.555959,48.119386
51029_E13_003b,-123.557206,48.126028
51029_E13_004a,-123.555959,48.119386
51029_E13_004b,-123.555959,48.119386
51029_E13_005a,-123.555959,48.119386
51029_E13_005b,-123.555959,48.119386
51029_E13_006a,-123.555959,48.119386
51029_E13_006b,-123.555959,48.119386
51029_E13_007a,-123.555959,48.119386
51029_E13_007b,-123.555959,48.119386
51096_044,-123.554462,48.133958
51096_045,-123.554462,48.133958
51096_058,-123.554462,48.133958
51642_01,-123.554462,48.133958
51642_02,-123.554462,48.133958
51642_03,-123.554462,48.133958
51643_16_001,-123.551954,48.133902
51643_16_005,-123.551954,48.133902
51643_16_007,-123.555959,48.119386
51643_16_009,-123.551954,48.133902
51643_16_012,-123.577027,48.063958
51643_16_013,-123.557206,48.126028
51643_16_014,-123.551954,48.133902
51643_16_015,-123.563271,48.139881
51643_16_017,-123.590083,48.015889
51643_16_019,-123.557206,48.126028
51643_16_020,-123.563271,48.139881
51643_16_021,-123.557206,48.126028
51643_16_022,-123.557206,48.126028
51643_16_023,-123.551954,48.133902
51643_16_025,-123.551954,48.133902
51643_16_027,-123.551954,48.133902
51643_16_028,-123.555959,48.119386
51643_16_029,-123.557206,48.126028
51643_16_030,-123.557206,48.126028
51643_16_035,-123.557206,48.126028
51643_16_037,-123.557206,48.126028
51643_16_038,-123.557206,48.126028
51643_16_043,-123.551954,48.133902
51643_16_28,-123.555959,48.119386
51686_1,-123.557206,48.126028
51686_101,-123.558055,48.126089
51686_102,-123.554462,48.133958
51686_103,-123.554462,48.133958
51686_105,-123.554462,48.133958
51686_106,-123.554462,48.133958
51686_107,-123.554462,48.133958
51686_108,-123.599862,48.011814
51686_109,-123.557206,48.126028
51686_117,-123.554462,48.133958
51686_118,-123.563271,48.139881
